stem,long,translation,n
sver,sver,sweden,15223
danmark,danmark,denmark,12497
procent,procent,percents,9663
tysk,tysk,german,9389
europ,europa,europe,8957
dansk,dansk,danish,8740
länd,länder,countries,8538
norg,norge,norway,8147
døde,døde,died,7395
itali,italia,italy,7298
foto,foto,photo,7245
även,även,also,7163
mång,många,many,6763
norsk,norsk,norway,6583
också,också,also,6396
første,første,first,5472
land,landa,land,5400
verd,verd,verd,5399
escort,escort,escort,5080
vill,vill,wants,4933
först,först,first,4896
test,testa,testing,4763
oslo,oslo,oslo,4758
viruset,viruset,the virus,4590
måst,måsta,is required,4589
spani,spania,spain,4501
sier,sier,doesn't,4491
dating,dating,dating,4466
coronavirus,coronavirus,coronavirus,4401
juni,juni,june,4396
godt,godt,well,4358
kron,kron,crown,4162
ifølg,ifølge,according to,4154
människ,människa,human,4096
frankrik,frankrike,france,4018
coronaviruset,coronaviruset,coronavirus,4009
restriktion,restriktion,constraint,3976
onsdag,onsdag,wednesday,3935
storbritanni,storbritannia,great britain,3926
öppn,öppna,open,3818
massasj,massasje,massage,3692
skol,skol,school,3671
blevet,blevet,become,3650
kamp,kamp,battle,3582
mennesk,menneska,human,3523
gäll,gäll,shrill,3497
fram,fram,front,3467
haft,haft,had,3410
kontak,kontakt,contact,3404
smittet,smittet,infected,3350
antal,antal,quantity,3348
fått,fått,gotten,3326
andet,andet,other,3275
coronakris,coronakris,corona crisis,3273
smittspridning,smittspridning,cross-infection,3272
vaccin,vaccin,vaccine,3257
million,millionar,million,3231
spel,spel,game,3203
smitted,smittede,infected,3166
värld,värld,world,3158
igen,igen,again,3139
frem,frem,forward,3128
rejs,rejse,travel,3108
rund,rund,round,3000
sist,sist,last,2996
juli,juli,july,2943
tidliger,tidligere,previously,2930
olik,olika,various,2904
året,året,year,2873
studi,studia,study,2863
mynd,myndig,mature,2862
antalet,antalet,number of,2852
kommun,kommun,intersectoral,2839
merkel,merkel,merkel,2818
porno,porno,porn,2794
brug,brug,use,2775
minsk,minsk,minsk,2774
viss,viss,certain,2750
eskort,eskort,escort,2734
allered,allerede,already,2715
munskyd,munskydd,face masks,2713
kvinn,kvinna,woman,2709
åtgärd,åtgärd,action,2706
senest,senest,latest,2706
pandemi,pandemi,pandemic,2705
redan,redan,already,2693
grupp,grupp,group,2679
gång,gång,time,2672
stockholm,stockholm,stockholm,2665
omkring,omkring,around,2653
forhold,forhold,conditions,2627
torsdag,torsdag,thursday,2621
region,regionar,regions,2613
gratis,gratis,free,2573
kunn,kunna,be able to,2566
arbejd,arbejde,work,2500
gräns,gränsande,bordering,2498
europeisk,europeisk,european,2489
lokal,lokal,local,2488
peng,peng,peng,2488
fortsat,fortsatt,continue,2481
inför,inför,ahead of,2465
politisk,politisk,political,2436
fredag,fredag,friday,2432
trump,trump,trump,2421
onlin,online,online,2417
spill,spill,overflow,2413
turist,turist,tourism,2408
fick,fick,got,2406
offent,offentlig,public,2405
folkhälsomynd,folkhälsomyndighet,public health authority,2398
väld,väld,power,2394
dock,dock,however,2390
befolkning,befolkning,population,2368
beslut,beslut,decisions,2356
krav,krav,requirement,2355
miljon,miljonen,million,2352
sidst,sidst,last,2335
pandemin,pandemin,pandemic,2333
amerikansk,amerikansk,american,2321
testet,testet,the test,2311
økonomisk,økonomisk,financially,2304
hjem,hjem,home,2288
berlin,berlin,berlin,2277
regl,regla,rule,2273
arbet,arbeta,work,2271
null,null,null,2255
situation,situationen,the situation,2244
vider,videre,further,2201
effek,effekt,effect,2199
først,først,first,2192
oktob,oktober,october,2187
patient,patienten,patient,2184
uden,uden,without,2175
fortæll,fortælle,tell,2170
medi,medi,in,2170
nytt,nytt,new,2132
hård,hård,hard,2117
områd,områda,area,2116
drabb,drabba,affect,2115
følge,følge,follow,2105
använd,använd,use,2100
begynd,begynde,begin,2099
antallet,antallet,the number,2088
rapporter,rapportera,reporting,2079
fordi,fordi,because,2075
mandag,mandag,monday,2071
mellem,mellem,between,2065
ander,anderen,others,2060
tilbag,tilbage,back,2053
karantän,karantän,quarantine,2047
trot,trots,though,2042
milliard,milliard,billion,2035
hvordan,hvordan,how,2010
global,global,global,2001
mart,marta,martha,1994
tyck,tycka,think,1987
minst,minst,smallest,1970
satt,satt,set,1962
belgi,belgia,belgium,1960
veckan,veckan,week,1939
ramt,ramt,frame,1931
virus,virus,virus,1930
euro,euro,euro,1923
gjort,gjort,completing,1913
finland,finland,finland,1897
ställ,ställ,stand,1897
større,større,larger,1892
migrant,migranten,migrants,1884
vänt,vänt,turned,1868
fald,fald,fold,1859
känn,känn,feel,1857
artikl,artiklar,articles,1849
find,finde,find,1846
endnu,endnu,yet,1836
thai,thai,thai,1831
største,største,largest,1830
aldr,aldr,aldr,1825
klubb,klubb,club,1820
porn,porn,porn,1819
retrieved,retrieved,retrieved,1819
dansker,danskere,danes,1818
tirsdag,tirsdag,tuesday,1805
lidt,lidt,a little,1804
europæisk,europæisk,european,1798
massag,massage,massage,1796
økonomi,økonomi,economy,1791
besök,besök,visits,1779
svært,svært,very,1778
politik,politik,politics,1766
virksomhed,virksomhed,company,1764
ytter,ytteren,the outside,1763
positivt,positivt,positive,1762
ännu,ännu,yet,1761
gøre,gøre,do,1761
störr,större,bigger,1756
bedr,bedra,deceive,1751
saml,samla,collect,1751
sikr,sikra,sikra,1750
cirk,cirk,circ,1747
johan,johan,johan,1738
plan,plana,plane,1730
eksempel,eksempel,example,1728
högst,högst,highest,1724
kansk,kanske,may be,1722
gaml,gamla,old,1718
positiv,positiv,positive,1710
därför,därför,therefore,1702
altså,altså,that is,1689
svårt,svårt,difficult,1686
rest,restar,remains,1681
meddel,meddela,inform,1680
angel,angel,angel,1679
famili,familia,family,1676
frankr,frankr,frankr,1665
bort,bort,delete,1658
fortfar,fortfarande,still,1652
blant,blant,among,1650
hemm,hemm,hem,1643
exempel,exempel,examples,1641
vent,vent,vent,1641
hjälp,hjälp,help,1632
vård,vård,conservation,1631
läng,längd,length,1625
