stem,long,translation,n
risikogebiet,risikogebiet,risk area,14074
trump,trump,trump,13868
tegnell,tegnell,tegnell,8188
macron,macron,macron,7898
sonderweg,sonderweg,special path,5524
drost,drost,drost,5287
michel,michel,michel,4976
rutt,rutte,slid,4262
leagu,league,league,3841
dusseldorf,dusseldorf,dusseldorf,3641
tirol,tirol,tyrol,3439
ronaldo,ronaldo,ronaldo,3435
liga,liga,division,3200
cont,conte,conte,3133
assang,assange,julian assange,2914
leipzig,leipzig,leipzig,2613
bundesrat,bundesrat,federal council,2272
ubersterb,übersterblichkeit,excess mortality,2271
lien,lien,lien,2155
ischgl,ischgl,ischgl,2126
langu,langue,langue,2077
trad,trad,trad,2077
gutersloh,gütersloh,gütersloh,2063
orban,orban,orban,2025
akti,aktie,share,2007
lauterbach,lauterbach,lauterbach,1955
thunberg,thunberg,thunberg,1939
prinz,prinz,prince,1848
kurzarbeitergeld,kurzarbeitergeld,short-time allowance,1806
reederei,reederei,shipping company,1798
lofv,lofven,lofven,1761
victoria,victoria,victoria,1688
greta,greta,greta,1677
nationalmannschaft,nationalmannschaft,national team,1671
mutation,mutation,mutation,1655
konigin,königin,queen,1629
variant,variante,versions,1626
mailand,mailand,milano,1583
akad,akad,acad,1544
hauptversamml,hauptversammlung,general assembly,1527
turni,turnier,tournament,1512
salzburg,salzburg,salzburg,1489
ikea,ikea,ikea,1466
frederiks,frederiksen,frederiksen,1453
lign,ligne,ligne,1436
stadion,stadion,stadium,1431
olymp,olymp,olympus,1369
prinzessin,prinzessin,princess,1355
tokio,tokio,tokyo,1348
risikolist,risikoliste,risk-list,1338
cristiano,cristiano,cristiano,1314
daiml,daimler,daimler,1306
rabatt,rabatt,discount,1299
nerz,nerz,mink,1280
anschob,anschober,rudolf anschober,1271
bhakdi,bhakdi,sucharit bhakdi,1271
julian,julian,julian,1246
streeck,streeck,streeck,1245
vonovia,vonovia,vonovia,1223
landerspiel,länderspiel,international match,1209
abgeruf,abgerufen,accessed,1193
duell,duell,duel,1189
gewann,gewann,won,1175
googl,google,google,1144
faktencheck,faktencheck,fact check,1141
final,finale,finale,1140
turin,turin,turin,1135
superstar,superstar,superstar,1111
ibrahimovic,ibrahimovic,ibrahimovic,1105
juventus,juventus,juventus,1095
royal,royal,royal,1092
tubing,tubing,tubing,1088
nationalspiel,nationalspieler,national player,1087
carlos,carlos,carlos,1079
istanbul,istanbul,istanbul,1064
basel,basel,basel,1058
ecdc,ecdc,ecdc,1058
weltmeist,weltmeister,world champion,1051
european,european,european,1045
hopp,hopp,hopp,1044
nordkorea,nordkorea,north korea,1027
instagram,instagram,instagram,994
juan,juan,juan,990
rent,rente,pension,965
soest,soest,soest,960
hoffenheim,hoffenheim,hoffenheim,957
andersson,andersson,mark andersson,939
bargeld,bargeld,cash,937
eishockey,eishockey,ice hockey,906
krisenstaat,krisenstaat,crisis state,891
kompromissvorschlag,kompromissvorschlag,compromise proposal,884
lanz,lanz,lanz,873
konigshaus,königshaus,royal house,863
mari,marie,marie,853
borussia,borussia,borussia dortmund,852
astrazeneca,astrazeneca,astrazeneca,841
stuft,stuft,classifies,825
info,info,info,817
clem,clemens,clemens,816
simon,simon,simon,812
messi,messi,messi,809
schulstart,schulstart,school start,805
uefa,uefa,uefa,791
grenzgebiet,grenzgebiet,border area,781
antwerp,antwerpen,antwerp,773
santos,santos,santos,770
carl,carl,carl,768
swed,sweden,sweden,761
dobrindt,dobrindt,dobrindt,757
fridays,fridays,fridays,757
kron,kron,kron,757
pippi,pippi,pippi longstocking,750
aufstock,aufstocke,increase,747
nato,nato,nato,741
kronprinzessin,kronprinzessin,crown princess,738
klick,klick,click,726
ryanair,ryanair,ryanair,726
schallenberg,schallenberg,schallenberg,718
sondergipfel,sondergipfel,special summit,715
rechtsstaatsmechanismus,rechtsstaatsmechanismus,rule of law mechanism,709
horn,horn,horn,704
mannheim,mannheim,mannheim,703
bundestrain,bundestrainer,national coach,702
athlet,athlet,athlete,700
hilfsgeld,hilfsgeld,aid,700
nationalteam,nationalteam,national team,692
scout,scout,scout,683
fritz,fritz,fritz,679
eurovision,eurovision,eurovision,678
finanzpaket,finanzpaket,finance package,674
haft,haft,detention,665
palm,palm,palm,665
swedish,swedish,swedish,665
boeing,boeing,boeing,663
margreth,margreth,margreth,658
christi,christi,christi,653
kallenius,källenius,kallenius,651
pfiz,pfizer,pfizer,642
halbfinal,halbfinal,semi-final,641
retrieved,retrieved,retrieved,638
notfallplan,notfallplan,emergency plan,637
lindn,lindner,lindner,636
marcel,marcel,marcel,631
dienstagmorg,dienstagmorgen,tuesday morning,628
kroatisch,kroatisch,croatian,627
uppsala,uppsala,uppsala,622
beck,beck,beck,616
plassmann,plassmann,plassmann,611
ausliefer,auslieferung,delivery,607
moria,moria,moria,604
mast,mast,mast,603
baumann,baumann,baumann,601
himmelfahrt,himmelfahrt,ascension,600
kapitan,kapitan,captain,600
meseberg,meseberg,meseberg,594
volvo,volvo,volvo,593
jonas,jonas,jonas,586
anhor,anhöre,listen,583
aiwang,aiwanger,aiwanger,582
schauspiel,schauspiel,actor,574
verpass,verpasse,miss,574
wettkampf,wettkampf,tournament,572
sofia,sofia,sofia,565
fussballverband,fussballverband,football association,563
united,united,united,563
abbild,abbild,image,555
arena,arena,arena,553
lesbos,lesbos,lesbos,552
testspiel,testspiel,test game,552
zlatan,zlatan,zlatan,549
frugal,frugal,frugal,548
gieseck,giesecke,giesecke,547
death,deaths,deaths,541
robot,robot,robot,536
malmo,malmö,malmö,535
zukunftsgerichtet,zukunftsgerichtet,forward-looking,535
nationaltrain,nationaltrainer,national coach,534
pandemic,pandemic,pandemic,534
quarantaneregeln,quarantäneregeln,quarantine rules,532
album,album,photo album,531
meiding,meidinger,engelbert meidinger,530
hack,hack,hack,526
eingesperrt,eingesperrt,locked up,524
vollzug,vollzug,enforcement,524
wettbewerbsfah,wettbewerbsfähig,competitive,519
anna,anna,anna,517
roman,roman,roman,514
dating,dating,dating,511
pelé,pelé,pelé,510
everbridg,everbridge,everbridge,508
traton,traton,traton,507
potsdam,potsdam,potsdam,506
abendess,abendessen,dinner,504
jann,jann,jann,501
lubeck,lübeck,lübeck,501
veto,veto,veto,501
aufbaufond,aufbaufonds,development funds,499
moderna,moderna,moderna,499
coburg,coburg,coburg,498
bildhau,bildhauer,sculptor,497
vernazza,vernazza,vernazza,497
netflix,netflix,netflix,496
viertelfinal,viertelfinal,quarterfinals,494
cumming,cummings,cummings,493
streitpunkt,streitpunkt,point of contention,492
handball,handball,handball,491
nawalny,nawalny,navalny,491
bochum,bochum,bochum,487
sassoli,sassoli,sassoli,485
chefepidemiolog,chefepidemiologe,chief epidemiologist,483
klimakris,klimakrise,climate crisis,482
getty,getty,getty,481
ericsson,ericsson,ericsson,479
vitamin,vitamin,vitamin,478
maur,maurer,mason,477
rally,rally,rally,475
heimquarantan,heimquarantäne,home quarantine,474
zuma,zuma,zuma,474
chelsea,chelsea, chelsea,472
consultado,consultado,consultado,471
schuldenunion,schuldenunion,debt union,468
timo,timo,timo,468
favorit,favorit,favorite,466
bildnis,bildnis,portrait,465
manuel,manuel,manual,464
solberg,solberg,solberg,464
prostituiert,prostituierte,prostitute,460
gentiloni,gentiloni,gentiloni,459
grenzregion,grenzregion,border region,459
mair,mair,mair,459
homburg,homburg,homburg,458
ratschef,ratschef,councilor,458
konigsfamili,königsfamilie,the royal family,456
siffert,siffert,siffs,455
vergemeinschaft,vergemeinschaften,community,455
risikofrei,risikofrei,risk-free,454
xxxlutz,xxxlutz,xxxlutz,452
erneuerbar,erneuerbare,renewable,450
ramelow,ramelow,ramelow,449
seid,seid,are,449
angeflog,angeflogen,approached,448
gegenentwurf,gegenentwurf,counter-draft,444
baumeist,baumeister,builder,443
boll,boll,boll,442
taskforc,taskforce,task force,442
asyl,asyl,asylum,441
rottg,röttgen,monika röttgen,441
dmbttµ,dmbttµ,dmbttµ,440
gall,gall,gall,440
rekordmeist,rekordmeister,record holders,440
europameisterschaft,europameisterschaft,european championship,439
gronland,grönland,greenland,438
mindestlohn,mindestlohn,minimum wage,438
blockad,blockade,blockage,437
prostitution,prostitution,prostitution,436
kampani,kampanien,campania,435
floyd,floyd,news,434
prasidentschaft,präsidentschaft,the presidency,434
spain,spain,spain,432
teststrategi,teststrategie,test strategy,431
anklag,anklage,prosecution,430
comeback,comeback,comeback,430
euromomo,euromomo,euromomo,430
staffel,staffel,scale,429
inspiration,inspiration,inspiration,426
kunstgewerbesch,kunstgewerbesch,applied arts,421
lena,lena,lena,420
orbán,orbán,orbán,419
weltmeisterschaft,weltmeisterschaft,world championship,418
bundesministerium,bundesministerium,federal ministry,417
freilass,freilassen,leave empty,417
kroat,kroate,croats,417
notenbank,notenbank,central bank,417
sold,solde,pay,416
auckland,auckland,auckland,415
entzieh,entziehe,withdraw,415
archiv,archiv,archive,414
spotify,spotify,spotify,414
torhut,torhüter,goalkeeper,414
alfred,alfred,alfred,413
querdenk,querdenken,lateral thinking,408
titelverteid,titelverteidiger,title holders,408
toni,toni,toni,408
fifa,fifa,fifa,405
vida,vida,vida (occitan literary form,404
lion,lion,acte lion,403
sonntagszeit,sonntagszeitung,sunday newspaper,403
oecd,oecd,oecd,401
wagn,wagne,wagne,401
aktg,aktg,aktg,400
kekulé,kekulé,kekulé,400
leih,leih,leih [returnable,400
stellenabbau,stellenabbau,suppression de postes,398
langstrumpf,langstrumpf,pippi longstocking,396
berndl,berndl,procurement manager georg berndl,393
halbzeit,halbzeit,half,393
hermann,hermann,hermann,392
wutet,wütet,rages,391
dominic,dominic,dominic,390
debut,debut,debut,389
endspiel,endspiel,final,389
playoff,playoff,playoff,389
wutend,wütend,furious,388
folkhalsomyndighet,folkhalsomyndigheten,folkhalsomyndigheten,387
icon,icon,icon,385
scania,scania,scania,384
edtstadl,edtstadler,"karoline edtstadler<ex id=""_1""/><g id=""2"">, european union - confirmed</g>",383
spielort,spielort,venue,383
schlusslicht,schlusslicht,rear lamp,382
leonor,leonor,leonor,380
verschwor,verschworen,"lady rosaline has it in for you, though",379
technolog,technologen,"<g id=""pt59"">technologists</g>",377
liguri,ligurien,liguria,376
renschl,renschler,renschler,374
schlagwort,schlagwort,tag,373
nominiert,nominiert,featured,372
bettel,bettel,cooperative attempts with begging gestures,370
pietro,pietro,pietro,368
olympia,olympia,olympia,367
soderholm,söderholm,söderholm,367
wohnmobil,wohnmobil,motorhome,367
ruth,ruth,ruth,366
beherbergungsverbot,beherbergungsverbot,no shelter,364
lagard,lagarde,lagarde,364
loch,loch,loch,361
leichtathlet,leichtathlet,athlete,360
norwegian,norwegian,norwegian,360
mittelfeld,mittelfeld,midfielder,359
musk,musk,maye musk,358
agosto,agosto,august,355
brennwald,brennwald,michael brennwald,355
kramaric,kramaric,kramaric,354
verhaftet,verhaftet,arrested,353
harvard,harvard,harvard,350
knackpunkt,knackpunkt,that was his sticking point,350
dennis,dennis,dennis,349
hoeness,hoeness,hoeness,349
kraus,kraus,kraus,349
metall,metall,metal,349
mietpreisbrems,mietpreisbremse,freezing rental prices/rental control/rental cap/ soon to come into force,346
graph,graph,graph,345
sputnik,sputnik,sputnik gmbh,345
kany,kanye,#NAME?,344
aufschwung,aufschwung,upswing,343
kroos,kroos,kroos,343
polansky,polansky,polansky,343
gislason,gislason,gislason,342
schulz,schulz,schulz,340
spring,springe,jump,337
thronfolg,thronfolge,succession,337
hintertur,hintertür,backdoor,336
lucas,lucas,lucas,336
kogl,kogler,kogler,335
schumach,schumacher,schumacher,333
lund,lund,lund,332
tann,tann,tann,331
versagt,versagt,refused,331
vetorecht,vetorecht,the veto power,330
epidemiologin,epidemiologin,epidemiologist,329
stoltenberg,stoltenberg,jessica stoltenberg,329
blumel,blümel,blümel,328
vett,vett,vett,327
bilbao,bilbao,bilbao,326
faro,faro,faro,326
heinrich,heinrich,heinrich,326
sudschwed,südschweden,south sweden,324
transf,transfers,transfers,324
mannschaftstraining,mannschaftstraining,team training,323
ruckstand,rückstand,residue,323
moritz,moritz,moritz,322
malerin,malerin,female painter,321
wohnzimm,wohnzimmer,living room,321
nolan,nolan,nolan,320
ioannidis,ioannidis,ioannidis,319
raab,raab,raab,319
ranglist,rangliste,leaderboard,317
kompromissbereitschaft,kompromissbereitschaft,willingness to compromise,316
atem,atem,breath,314
krefeld,krefeld,krefeld,314
schmid,schmid,schmid,314
algarv,algarve,the algarve,313
magnus,magnus,magnus moan,313
skoda,skoda,skoda,313
koppeln,koppeln,coupling,311
rica,rica,rica,311
sassnitz,sassnitz,sassnitz,311
express,expressen,expressen,310
pressefrei,pressefreiheit,freedom of press,310
konstanz,konstanz,konstanz,309
landeverbot,landeverbot,landing ban,309
silvia,silvia,silvia,309
volksblatt,volksblatt,liechtenstein people sheet,309
spanish,spanish,spanish,308
verurteil,verurteile,don’t  judge,308
anklagepunkt,anklagepunkte,charges,306
argumentation,argumentation,reasoning/argumentation,305
centeno,centeno,centeno,305
gustaf,gustaf,larten gustaf,304
klimaaktivistin,klimaaktivistin,online mob pounces on climate activist,304
leoni,leoni,leoni,303
hallengr,hallengren,joachim hallengren,302
mbappé,mbappé,perfect gift for any kylian mbappé fan,302
forsberg,forsberg,peter forsberg,301
applaus,applaus,applause,300
gesteht,gesteht,admits mistakes,299
legend,legende,key,299
tenet,tenet,tenet,299
flagg,flagg,flag,298
schiesst,schiesst,early sowing hardly shoots at all,298
emil,emil,emil,297
villa,villa,villa,297
billigflieg,billigfliegen,cheap flights have made city breaks a simple consumer good,296
gipfeltag,gipfeltag,summit day,296
schwedin,schwedin,swedish,296
kulmbach,kulmbach,kulmbach,295
french,french,french,294
stimmrecht,stimmrecht,voting rights,294
alkoholverbot,alkoholverbot,alcohol ban,293
davos,davos,davos,292
elbphilharmoni,elbphilharmonie,elbphilharmonie,291
hahn,hahn,rooster,290
katharina,katharina,katharina,290
madelein,madeleine,madeleine,290
ginsburg,ginsburg,ginsburg,289
zuruckzahlbar,zurückzahlbare,refundable security deposit,289
adac,adac,adac,288
austragungsort,austragungsort,location,288
franco,franco,francisco franco,288
kleinwalsertal,kleinwalsertal,kleinwalsertal,288
weibel,weibel,weibel,288
befrist,befristen,terminate,285
rashica,rashica,rashica,285
mietendeckel,mietendeckel,"attention, landlords! special newsletter on the rent cap",284
lindgr,lindgren,astrid lindgren,283
bielefeld,bielefeld,bielefeld,281
camp,campen,camping,281
escort,escort,escort,281
furth,fürth,fürth,281
kronach,kronach,kronach,281
kurzlink,kurzlink,short link,281
